name,location,Business ID,alias,title,rating,review_count,price,latitude,longitude
The Beautique Hotels Figueira,"Praça da Figueira, 16 1100-241 Lisbon Portugal",Ep2nQZBwJRRzBP4cWwi4Xg,hotels,Hotels,3.9,12,€€€€,38.7132607,-9.1375399
H2S - Home2Students,"Av. Miguel Bombarda, 70 3º 1050-166 Lisbon Portugal",UEvbuZwOqguHoeOomEg2-w,realestateagents,Real Estate Agents,1.0,1,,38.7367401,-9.1498699
Riviera Hotel,"R. Bartolomeu Dias, s/n Junqueiro 2775-551 Carcavelos Portugal",hz3ARYHjpr78xhqdlrTChA,hotels,Hotels,4.0,1,€€,38.68477,-9.34365
Hotel Diplomático,Rua Castilho 74 1250-071 Lisbon Portugal,KwefM59nUgpz1oIa5YVhlw,hotels,Hotels,3.0,1,,38.7244977,-9.1528035
Hotel 3K Europa,"Avenida da República, 93 1050-190 Lisbon Portugal",qq-Cs23bfaM-iO6q2c1mxg,hotels,Hotels,3.5,4,€€€,38.7438698,-9.1475401
The Lisbonaire,Rua da Glória 16 1250-116 Lisbon Portugal,rGRwkM0PPRKTgvFHagdpVw,vacation_rentals,Vacation Rentals,4.7,6,,38.7165565,-9.1436722
Palácio Ramalhete,Rua das Janelas Verdes 92 1200-692 Lisbon Portugal,FLsNYiop2cmH5rS04dFFAA,hotels,Hotels,5.0,4,€€€,38.7054584,-9.1605547
Teatro B&B,"Rua da Trindade, 36 1200-467 Lisbon Portugal",GB_YVgEKwhkdsuicjY4_1w,bedbreakfast,Bed & Breakfast,4.4,7,€€,38.7118974,-9.1420856
Lisbon Short Stay,"Rua dos Sapateiros, 158 1100-580 Lisbon Portugal",snieS5SgwFVI8AS4v6JZmA,hotels,Hotels,4.4,9,€€,38.7117881,-9.1384933
Aparthotel Vip Eden,Praça dos Restauradores 24 1250-187 Lisbon Portugal,KXWAoGEVJAdNnU30iBBTvQ,hotels,Hotels,4.5,4,€€,38.7161,-9.14225
Vincci Baixa,"Rua do Comércio, 32-38 1100-150 Lisbon Portugal",U20ybTR0yXkRrjpXYkPY3w,hotels,Hotels,4.0,1,€€€,38.7092233,-9.135553
Turim Alameda,Av. Rovisco Pais 34 1000-268 Lisbon Portugal,e65ge0YP1I8FRzRSPvA4xQ,hotels,Hotels,4.0,1,,38.7354399,-9.13763
Rossio Boutique Hotel,"R. Barros Queirós, 31 1100-076 Lisbon Portugal",2br-Hru6gwn1BzVIgTIijA,hotels,Hotels,3.3,3,,38.71494,-9.13832
Lisbon Colours,"Travessa da Queimada, 44 Lisbon Portugal",8gynJfPXFO8RjqK1ImYsIw,hotels,Hotels,3.0,2,€€,38.7128716,-9.1447296
behotelisboa,"R. dos Correeiros, 136 1100-168 Lisbon Portugal",gaRcw3lcK5trqYwUFtVOwA,hotels,Hotels,4.2,5,,38.71162,-9.13756
Dom Pedro Palace,"Av. Engenheiro Duarte Pacheco, 24 1070-110 Lisbon Portugal",OsGOl9emBSsiIEy9q2ihXA,hotels,Hotels,4.0,12,€€€,38.7247333997066,-9.16030598591385
Hotel Dom Carlos Park,"Av. Duque de Loulé, 121 1050-089 Lisbon Portugal",uWdu6aSN036ckD6qlCnKMw,hotels,Hotels,3.0,1,€€,38.7256889,-9.1480598
Casa do Bairro by Shiadu,"Beco do Caldeira, 1 1200-083 Lisbon Portugal",ZMcxMAFUariXIXqb8CgAqw,guesthouses,Guest Houses,4.0,2,,38.70927,-9.150502
Hotel PortoBay Liberdade,"R. Rosa Araújo, 8 1250-195 Lisbon Portugal",mKRIt5UqHOSDYQTNPv2BMg,hotels,Hotels,4.5,6,€€€,38.72219,-9.14888
Hotel Altis Avenida,"R. 1º Dezembro, 120 1200-360 Lisbon Portugal",DJgHLPzLclLpAp-_JnE7jA,hotels,Hotels,4.2,9,€€€,38.715085,-9.140767
